,company_name,manager_name,female,manager_edu_num,experience_days,aum_manager,num_fund_manager_curr,num_fund_manager_hist,company_name_short,company_rank_aum,aum_non_mmf,aum,num_funds,num_managers,avg_aum_manager,avg_num_manager,company_duration,weighted_average_benchmark_rate,weighted_average_excess_return,weighted_average_fee_total,male_score,female_score,photo_urls,earliest,latest,experience_before
31,上银基金管理有限公司,卢扬,0,1,2446,1589846793.2601,3,11,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,8.428569142861974,12.844179181703268,3.6085352839524347,66.222,69.603,https://human.amac.org.cn/gs/photo/148720641018714872064101870.jpg,2006-07-12,2020-08-17,5150
32,上银基金管理有限公司,杨建楠,1,1,1040,216074615.01,1,1,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,8.157891977691651,-24.254006171427957,3.446599077446159,55.639,58.082,https://human.amac.org.cn/gs/photo/2111151042358112.jpg,2021-11-17,2021-11-17,0
33,上银基金管理有限公司,楼昕宇,0,1,2422,98233980961.33,10,15,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,6.030544575819679,-2.422256196954094,1.0161058833891838,63.104,65.808,https://human.amac.org.cn/gs/photo/14309831078363429.jpg,2013-11-05,2015-06-15,587
34,上银基金管理有限公司,葛沁沁,1,1,1326,50619579550.79,9,13,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,10.40032879101452,-6.454559849296874,2.3003687285518013,81.896,85.289,https://human.amac.org.cn/gs/photo/157831106517615783110651760.jpg,2020-01-10,2020-01-10,0
35,上银基金管理有限公司,蔡唯峰,0,1,1326,19810490171.74,9,11,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,9.243210986076852,-5.263121703403656,1.1857931536222768,74.299,77.548,https://human.amac.org.cn/gs/photo/149135717048114913571704810.jpg,2017-04-12,2021-04-17,1466
36,上银基金管理有限公司,许佳,0,0,1502,49199758731.47,10,16,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,7.197489009428024,8.641787991813159,1.4122065836219044,81.917,84.125,https://human.amac.org.cn/gs/photo/2009220035391683.jpg,2020-09-22,2020-09-22,0
37,上银基金管理有限公司,赵治烨,0,0,2422,800356657.39,7,12,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,9.071337889664601,0.20356260507890508,4.1000000000000005,64.301,62.522,https://human.amac.org.cn/gs/photo/143374775311214337477531120.jpg,2014-06-19,2015-06-11,357
38,上银基金管理有限公司,郑众,1,1,397,57947086.0,2,2,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,9.540685124778747,-11.04973272804375,3.269810456870946,77.875,79.884,https://human.amac.org.cn/gs/photo/159427520410015942752041000.jpg,2020-07-15,2020-07-15,0
39,上银基金管理有限公司,陈博,0,1,1792,657715390.39,6,8,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,7.475810644684826,4.083225777951987,2.3124708551232516,75.649,82.578,https://human.amac.org.cn/gs/photo/147425882967214742588296720.jpg,2016-10-19,2020-02-06,1205
40,上银基金管理有限公司,陈芳菲,1,1,1531,15110903227.97,3,7,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,7.581126363142684,1.6134467870935183,2.5217487883558976,55.388,59.359,https://human.amac.org.cn/gs/photo/143098352218211501.jpg,2006-11-27,2019-10-06,4696
41,上银基金管理有限公司,马小东,0,1,523,18893307256.22,5,5,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,8.94267531186521,-5.1564993460310315,2.4704214782458185,75.327,77.349,https://human.amac.org.cn/gs/photo/154209058421615420905842160.jpg,2018-11-22,2020-06-04,560
42,上银基金管理有限公司,高永,0,1,2566,97038145.34,1,9,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,7.64930343837738,-0.7696482565102059,2.58027809740907,56.763,57.046,https://human.amac.org.cn/gs/photo/147658382273914765838227390.jpg,2016-10-14,2017-01-03,81
43,上银基金管理有限公司,黄璜,0,1,403,60182618.89,1,1,上银基金,33,168593699992.48,232247142914.0,57,19,12223533837.579,3.0,4141,9.66329525642395,-2.2599952564239505,4.1,80.609,82.512,https://human.amac.org.cn/gs/photo/155357025984815535702598480.jpg,2019-04-04,2019-04-04,0
44,东兴基金管理有限公司,任祺,0,1,1057,17019709290.58,4,5,东兴基金,88,33768963853.9,45367076850.44,25,9,5040786316.7156,2.7778,1750,10.615277046084703,-7.451642685488711,2.022744734906883,61.545,65.882,https://human.amac.org.cn/gs/photo/153025188343215302518834320.jpg,2018-08-01,2021-08-10,1105
45,东兴基金管理有限公司,司马义买买提,0,1,487,26986674844.77,9,13,东兴基金,88,33768963853.9,45367076850.44,25,9,5040786316.7156,2.7778,1750,6.470821964816052,-3.704155575851719,1.1375943093612597,65.711,66.3,https://human.amac.org.cn/gs/photo/155626744803615562674480360.jpg,2019-08-29,2021-03-31,580
46,东兴基金管理有限公司,宋立久,0,1,418,4756036161.7301,2,2,东兴基金,88,33768963853.9,45367076850.44,25,9,5040786316.7156,2.7778,1750,6.691073218941687,-3.3194666863199123,2.299946011390283,73.847,77.497,https://human.amac.org.cn/gs/photo/2008041624557735.png,2019-08-29,2022-06-30,1036
47,东兴基金管理有限公司,李兵伟,0,1,2392,1052613127.8301,8,11,东兴基金,88,33768963853.9,45367076850.44,25,9,5040786316.7156,2.7778,1750,8.572425000705584,-3.471374235802685,2.687990602399591,68.079,65.574,https://human.amac.org.cn/gs/photo/144618755980714461875598070.jpg,2015-11-09,2020-12-29,1877
48,东兴基金管理有限公司,李晨辉,0,1,2336,494071417.32,3,8,东兴基金,88,33768963853.9,45367076850.44,25,9,5040786316.7156,2.7778,1750,8.693356107187272,-8.904732555245374,3.750548200284361,69.495,67.981,https://human.amac.org.cn/gs/photo/143674351508114367435150810.jpg,2015-06-11,2020-12-17,2016
49,东吴基金管理有限公司,侯慧娣,1,1,2483,8532312579.0801,6,26,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,8.331553678047754,-0.9095734814970035,1.472243372278408,57.526,61.82,https://human.amac.org.cn/gs/photo/2304131135389579.png,2010-07-02,2022-07-01,4382
50,东吴基金管理有限公司,刘元海,0,2,2517,6054960582.4601,5,13,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,9.6398089518411,23.03886912513497,4.060442045389207,58.733,57.275,https://human.amac.org.cn/gs/photo/145731892625614573189262560.JPG,2006-09-20,2016-04-27,3507
51,东吴基金管理有限公司,刘瑞,0,1,2233,1232092619.9401,3,6,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,9.186769660647148,5.024000547748228,3.5454942611114144,63.14,63.89,https://human.amac.org.cn/gs/photo/143927313408014392731340800.jpg,2015-08-16,2018-03-09,936
52,东吴基金管理有限公司,周健,0,1,2210,216542133.25,5,11,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,8.124142487111252,4.038792014766718,3.78252633114159,58.152,57.282,https://human.amac.org.cn/gs/photo/143821837619814382183761980.JPG,2007-07-25,2015-09-01,2960
53,东吴基金管理有限公司,张浩佳,0,1,1188,397422148.43,2,2,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,9.291725940486181,8.493607001015365,3.9599175561769635,76.922,79.966,https://human.amac.org.cn/gs/photo/156256799894815625679989480.jpg,2019-07-14,2019-07-14,0
54,东吴基金管理有限公司,杜澄楷,0,1,432,10382576758.58,3,3,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,7.165718259751796,-2.472918259751797,2.4,63.084,63.569,https://human.amac.org.cn/gs/photo/2308080940311753.png,2023-08-08,2023-08-08,0
55,东吴基金管理有限公司,毛可君,1,1,1268,286102042.37,3,3,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,8.2149954428937,-20.358408552130037,3.9150111665149088,72.655,74.013,https://human.amac.org.cn/gs/photo/154535401968215453540196820.jpg,2019-07-17,2019-07-17,0
56,东吴基金管理有限公司,王明欣,1,1,1268,11390926695.8,4,5,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,6.991959348521782,-4.270677766284443,1.1603870167828512,69.044,72.956,https://human.amac.org.cn/gs/photo/149984725518214998472551820.jpg,2017-07-25,2017-07-25,0
57,东吴基金管理有限公司,赵梅玲,1,1,2427,284736781.33,4,8,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,8.51808881037619,-9.607329019190345,4.032328604584691,66.866,64.214,https://human.amac.org.cn/gs/photo/146009541084014600954108400.jpg,2008-11-10,2016-05-10,2738
58,东吴基金管理有限公司,邵笛,0,1,2456,16113346314.84,10,16,东吴基金,98,30535893978.65,36999052181.59,36,16,2312440761.3494,2.25,7425,6.794401283948585,-3.234176900169347,1.3935597023534922,54.156,58.081,https://human.amac.org.cn/gs/photo/143763880761114376388076110.JPG,2007-09-06,2015-07-29,2883
59,东方基金管理股份有限公司,严凯,0,1,1706,5326624760.8901,3,5,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,10.249182918817871,-4.6373407771343516,4.0958599747917415,59.355,59.933,https://human.amac.org.cn/gs/photo/144179068372214417906837220.jpg,2015-04-30,2020-04-30,1827
60,东方基金管理股份有限公司,刘长俊,0,1,1841,18224584181.43,5,21,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,8.004249319894837,-4.269883963796991,2.4636498546318353,74.993,72.84,https://human.amac.org.cn/gs/photo/146736101513914673610151390.jpg,2015-08-02,2019-12-17,1598
61,东方基金管理股份有限公司,吴萍萍,1,1,2217,47728127425.1,10,25,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.65899167216197,-3.3222197944190572,2.9493478343569164,59.305,60.882,https://human.amac.org.cn/gs/photo/143468196215514346819621550.jpg,2014-07-24,2016-03-16,601
