,manager_name,company_name,male_score,female_score,photo_urls
242,王海畅,诺安基金管理有限公司,68.158,67.007,https://human.amac.org.cn/gs/photo/151351292434915135129243490.jpg
243,陈宗超,同泰基金管理有限公司,66.725,69.769,https://human.amac.org.cn/gs/photo/2102251648545993.jpg
244,吴昊,华商基金管理有限公司,49.149,47.967,https://human.amac.org.cn/gs/photo/148099611178414809961117840.jpg
245,申俊华,南方基金管理股份有限公司,74.502,79.385,https://human.amac.org.cn/gs/photo/157242356413815724235641380.jpg
246,梁鹏,摩根基金管理（中国）有限公司,75.384,79.05,https://human.amac.org.cn/gs/photo/2307261247567730.jpg
247,李骥,合煦智远基金管理有限公司,58.478,67.237,https://human.amac.org.cn/gs/photo/2201200926060230.jpg
248,包剑,南方基金管理股份有限公司,84.749,88.426,https://human.amac.org.cn/gs/photo/2308080954282281.jpg
249,包丽华,易米基金管理有限公司,63.048,62.96,https://human.amac.org.cn/gs/photo/153975105464015397510546400.jpg
250,王雪莹,国寿安保基金管理有限公司,66.2,69.295,https://human.amac.org.cn/gs/photo/147816112807614781611280760.jpg
251,盛震山,工银瑞信基金管理有限公司,54.642,61.216,https://human.amac.org.cn/gs/photo/143617188333314361718833330.jpg
252,王中兴,鹏华基金管理有限公司,51.551,52.455,https://human.amac.org.cn/gs/photo/153325683141315332568314130.jpg
253,李博扬,易方达基金管理有限公司,69.75,76.372,https://human.amac.org.cn/gs/photo/158532762233915853276223390.jpg
254,徐留明,兴证全球基金管理有限公司,61.172,62.734,https://human.amac.org.cn/gs/photo/2010201115171682.jpg
255,杨嘉文,易方达基金管理有限公司,70.395,69.852,https://human.amac.org.cn/gs/photo/14309831040763354.jpg
256,王森,中航基金管理有限公司,61.049,62.971,https://human.amac.org.cn/gs/photo/2107071649068046.jpg
257,董旭恒,天弘基金管理有限公司,80.016,81.947,https://human.amac.org.cn/gs/photo/2404111641339763.jpg
258,邹立虎,景顺长城基金管理有限公司,65.473,63.878,https://human.amac.org.cn/gs/photo/158702617705815870261770580.jpg
259,陈彦辛,圆信永丰基金管理有限公司,73.136,75.284,https://human.amac.org.cn/gs/photo/159918774874215991877487420.jpg
260,谭菁,东吴基金管理有限公司,68.815,70.979,https://human.amac.org.cn/gs/photo/2111091357092458.png
261,徐奥千,东方基金管理股份有限公司,70.373,71.134,https://human.amac.org.cn/gs/photo/149380161495114938016149510.jpg
262,王晓晨,易方达基金管理有限公司,78.876,82.002,https://human.amac.org.cn/gs/photo/143098357445412555.jpg
263,罗擎,西藏东财基金管理有限公司,79.686,81.999,https://human.amac.org.cn/gs/photo/159296059429215929605942920.jpg
264,白冰洋,富国基金管理有限公司,61.51,64.446,https://human.amac.org.cn/gs/photo/144281986793214428198679320.jpg
265,刘晓晨,宏利基金管理有限公司,65.72,61.275,https://human.amac.org.cn/gs/photo/2402071116201160.jpg
266,张西林,招商基金管理有限公司,48.225,54.362,https://human.amac.org.cn/gs/photo/149017602386014901760238600.jpg
267,轩璇,嘉实基金管理有限公司,78.182,82.487,https://human.amac.org.cn/gs/photo/156764687379415676468737940.jpg
268,陈轶平,海富通基金管理有限公司,60.356,63.383,https://human.amac.org.cn/gs/photo/14309830474092230.jpg
269,朱良,联博基金管理有限公司,62.904,67.702,https://human.amac.org.cn/gs/photo/153439421709015343942170900.jpg
270,陈异,国泰基金管理有限公司,79.484,81.578,https://human.amac.org.cn/gs/photo/146971836021914697183602190.jpg
271,范贵龙,国新国证基金管理有限公司,53.605,53.869,https://human.amac.org.cn/gs/photo/143435476814414343547681440.jpg
272,赵诣,泉果基金管理有限公司,61.561,65.342,https://human.amac.org.cn/gs/photo/2208011023447212.jpg
273,尚可,嘉实基金管理有限公司,69.872,72.86,https://human.amac.org.cn/gs/photo/159807772256315980777225630.jpg
274,贾乃鑫,广发基金管理有限公司,65.408,67.528,https://human.amac.org.cn/gs/photo/150656243238515065624323850.jpg
275,陈金伟,鹏华基金管理有限公司,67.499,69.136,https://human.amac.org.cn/gs/photo/155064999355815506499935580.jpg
276,何以广,兴证全球基金管理有限公司,80.87,82.475,https://human.amac.org.cn/gs/photo/2308101412098122.jpeg
277,何琦,华泰柏瑞基金管理有限公司,63.117,63.202,https://human.amac.org.cn/gs/photo/14309833272827667.jpg
278,刘帆,兴银基金管理有限责任公司,72.051,73.563,https://human.amac.org.cn/gs/photo/2011241307267426.jpg
279,姚晨飞,农银汇理基金管理有限公司,55.576,58.151,https://human.amac.org.cn/gs/photo/144466747415514446674741550.jpg
280,王勇,景顺长城基金管理有限公司,65.246,66.199,https://human.amac.org.cn/gs/photo/2210201952291753.jpg
281,严志勇,西部利得基金管理有限公司,52.415,54.729,https://human.amac.org.cn/gs/photo/145206580131814520658013180.jpg
282,程琨,广发基金管理有限公司,71.609,76.386,https://human.amac.org.cn/gs/photo/143098354195911899.jpg
283,夏晨曦,南方基金管理股份有限公司,66.341,68.529,https://human.amac.org.cn/gs/photo/143098349973611056.jpg
284,王秀,同泰基金管理有限公司,72.187,68.098,https://human.amac.org.cn/gs/photo/155326102779315532610277930.jpg
285,李铮男,蜂巢基金管理有限公司,71.63,79.849,https://human.amac.org.cn/gs/photo/157492565729315749256572930.jpg
286,曲扬,前海开源基金管理有限公司,71.369,69.27,https://human.amac.org.cn/gs/photo/143323036374614332303637460.jpg
287,林乐峰,南方基金管理股份有限公司,67.93,65.403,https://human.amac.org.cn/gs/photo/143347480341714334748034170.jpg
288,邱家庆,安信基金管理有限责任公司,72.517,73.709,https://human.amac.org.cn/gs/photo/14309830358011990.jpg
289,刘斌,华泰保兴基金管理有限公司,59.38,59.614,https://human.amac.org.cn/gs/photo/2309081736381163.png
290,田阳,信达澳亚基金管理有限公司,45.147,42.507,https://human.amac.org.cn/gs/photo/143701543406214370154340620.jpg
291,崔古昕,新华基金管理股份有限公司,80.466,79.66,https://human.amac.org.cn/gs/photo/143098365639114293.jpg
292,姚进,中银基金管理有限公司,76.51,79.472,https://human.amac.org.cn/gs/photo/159831816558615983181655860.jpg
293,胡宇飞,嘉实基金管理有限公司,63.809,63.569,https://human.amac.org.cn/gs/photo/143098386281218779.jpg
294,高靖瑜,华富基金管理有限公司,57.974,55.85,https://human.amac.org.cn/gs/photo/143098355118212081.jpg
295,孟亦佳,国寿安保基金管理有限公司,69.956,76.242,https://human.amac.org.cn/gs/photo/146796727338914679672733890.jpg
296,王逸俊,财通基金管理有限公司,77.023,77.879,https://human.amac.org.cn/gs/photo/2105311158209330.jpg
297,周晶,银华基金管理股份有限公司,73.251,71.225,https://human.amac.org.cn/gs/photo/153413822097115341382209710.jpg
298,江山,景顺长城基金管理有限公司,69.931,70.117,https://human.amac.org.cn/gs/photo/2406051041226170.jpg
299,郜哲,华富基金管理有限公司,61.382,60.034,https://human.amac.org.cn/gs/photo/149190037120514919003712050.jpg
300,张卫卫,博时基金管理有限公司,69.174,69.818,https://human.amac.org.cn/gs/photo/14309832996987128.jpg
301,林小聪,国泰基金管理有限公司,59.209,61.836,https://human.amac.org.cn/gs/photo/14309832136705515.jpg
302,苏天醒,国寿安保基金管理有限公司,77.837,76.373,https://human.amac.org.cn/gs/photo/144729784038314472978403830.jpg
303,彭珂,易方达基金管理有限公司,66.035,71.57,https://human.amac.org.cn/gs/photo/144582502654614458250265460.jpg
304,倪玉娟,博时基金管理有限公司,79.686,84.678,https://human.amac.org.cn/gs/photo/143098385270218569.jpg
305,程奎皓,兴证全球基金管理有限公司,72.304,69.973,https://human.amac.org.cn/gs/photo/148489348966314848934896630.jpg
306,江博文,长安基金管理有限公司,64.426,72.171,https://human.amac.org.cn/gs/photo/2406141509179895.jpg
307,胡洁,华宝基金管理有限公司,57.035,57.102,https://human.amac.org.cn/gs/photo/14309834019739122.jpg
308,朱燕琼,太平基金管理有限公司,62.887,66.45,https://human.amac.org.cn/gs/photo/152691172810815269117281080.jpg
309,李晓然,新华基金管理股份有限公司,55.501,59.266,https://human.amac.org.cn/gs/photo/149336044134214933604413420.jpg
310,黄志钢,南华基金管理有限公司,55.989,53.008,https://human.amac.org.cn/gs/photo/14309832636486462.jpg
311,邢少雄,天弘基金管理有限公司,66.123,65.959,https://human.amac.org.cn/gs/photo/2108040859295923.jpg
312,曾薏桐,宏利基金管理有限公司,73.136,75.218,https://human.amac.org.cn/gs/photo/2110081419042086.jpg
313,唐丁祥,兴业基金管理有限公司,68.438,65.305,https://human.amac.org.cn/gs/photo/149552159084314955215908430.JPG
314,陈桥宁,惠升基金管理有限责任公司,69.048,71.125,https://human.amac.org.cn/gs/photo/2407101109306828.jpg
315,神玉飞,贝莱德基金管理有限公司,64.166,66.292,https://human.amac.org.cn/gs/photo/2208031912151365.jpg
316,石磊,宏利基金管理有限公司,56.49,57.017,https://human.amac.org.cn/gs/photo/2405151538205600.jpg
